state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Uttar Pradesh,2005,Burglary - Property,3. Burglary,3496,166454751,853,87349812,property_stolen_and_recovered
Uttarakhand,2005,Burglary - Property,3. Burglary,489,12112071,99,1348660,property_stolen_and_recovered
West Bengal,2005,Burglary - Property,3. Burglary,739,19919581,137,3379931,property_stolen_and_recovered
Andaman & Nicobar Islands,2006,Burglary - Property,3. Burglary,82,2605702,25,888107,property_stolen_and_recovered
Andhra Pradesh,2006,Burglary - Property,3. Burglary,8169,310621897,3450,142717661,property_stolen_and_recovered
Arunachal Pradesh,2006,Burglary - Property,3. Burglary,257,12667956,87,2558587,property_stolen_and_recovered
Assam,2006,Burglary - Property,3. Burglary,2911,35783913,557,9818045,property_stolen_and_recovered
Bihar,2006,Burglary - Property,3. Burglary,3531,36841471,362,3180927,property_stolen_and_recovered
Chandigarh,2006,Burglary - Property,3. Burglary,189,6810631,98,2923970,property_stolen_and_recovered
Chhattisgarh,2006,Burglary - Property,3. Burglary,3507,74386571,1070,8717499,property_stolen_and_recovered
Dadra & Nagar Haveli,2006,Burglary - Property,3. Burglary,41,3752927,12,971220,property_stolen_and_recovered
Daman & Diu,2006,Burglary - Property,3. Burglary,60,6367320,8,1405190,property_stolen_and_recovered
Delhi,2006,Burglary - Property,3. Burglary,1950,114401072,893,14994976,property_stolen_and_recovered
Goa,2006,Burglary - Property,3. Burglary,230,18460149,48,3338956,property_stolen_and_recovered
Gujarat,2006,Burglary - Property,3. Burglary,5363,299427287,1405,32600847,property_stolen_and_recovered
Haryana,2006,Burglary - Property,3. Burglary,3996,107827743,1760,41950479,property_stolen_and_recovered
Himachal Pradesh,2006,Burglary - Property,3. Burglary,732,31873315,136,6597727,property_stolen_and_recovered
Jammu & Kashmir,2006,Burglary - Property,3. Burglary,1351,32683515,189,3765294,property_stolen_and_recovered
Jharkhand,2006,Burglary - Property,3. Burglary,1428,21269610,234,2129927,property_stolen_and_recovered
Karnataka,2006,Burglary - Property,3. Burglary,5967,234363867,1775,63562444,property_stolen_and_recovered
Kerala,2006,Burglary - Property,3. Burglary,3948,237675908,846,26865098,property_stolen_and_recovered
Lakshadweep,2006,Burglary - Property,3. Burglary,2,28200,1,10000,property_stolen_and_recovered
Madhya Pradesh,2006,Burglary - Property,3. Burglary,10729,175701398,3140,35645450,property_stolen_and_recovered
Maharashtra,2006,Burglary - Property,3. Burglary,14723,688724735,4012,99357595,property_stolen_and_recovered
Manipur,2006,Burglary - Property,3. Burglary,55,3800658,0,0,property_stolen_and_recovered
Meghalaya,2006,Burglary - Property,3. Burglary,140,3771145,27,290370,property_stolen_and_recovered
Mizoram,2006,Burglary - Property,3. Burglary,408,15662205,269,3274525,property_stolen_and_recovered
Nagaland,2006,Burglary - Property,3. Burglary,68,42221157,25,958091,property_stolen_and_recovered
Odisha,2006,Burglary - Property,3. Burglary,3118,84174508,1425,17798514,property_stolen_and_recovered
Puducherry,2006,Burglary - Property,3. Burglary,84,2477094,46,1104955,property_stolen_and_recovered
Punjab,2006,Burglary - Property,3. Burglary,2277,115272477,955,25846606,property_stolen_and_recovered
Rajasthan,2006,Burglary - Property,3. Burglary,4879,136663767,1678,51924184,property_stolen_and_recovered
Sikkim,2006,Burglary - Property,3. Burglary,84,2703436,13,100500,property_stolen_and_recovered
Tamil Nadu,2006,Burglary - Property,3. Burglary,3300,125033409,2291,79307801,property_stolen_and_recovered
Tripura,2006,Burglary - Property,3. Burglary,182,4891139,115,2210714,property_stolen_and_recovered
Uttar Pradesh,2006,Burglary - Property,3. Burglary,3545,231897742,880,119979317,property_stolen_and_recovered
Uttarakhand,2006,Burglary - Property,3. Burglary,410,14234550,114,4488841,property_stolen_and_recovered
West Bengal,2006,Burglary - Property,3. Burglary,601,13223258,138,3981448,property_stolen_and_recovered
Andaman & Nicobar Islands,2007,Burglary - Property,3. Burglary,90,3173066,21,715116,property_stolen_and_recovered
Andhra Pradesh,2007,Burglary - Property,3. Burglary,7609,265927102,3827,85999945,property_stolen_and_recovered
Arunachal Pradesh,2007,Burglary - Property,3. Burglary,240,11311656,90,4211030,property_stolen_and_recovered
Assam,2007,Burglary - Property,3. Burglary,2603,36285212,491,5730761,property_stolen_and_recovered
Bihar,2007,Burglary - Property,3. Burglary,3259,56610107,294,3910175,property_stolen_and_recovered
Chandigarh,2007,Burglary - Property,3. Burglary,191,8182250,63,2197700,property_stolen_and_recovered
Chhattisgarh,2007,Burglary - Property,3. Burglary,3632,52170119,1164,11248886,property_stolen_and_recovered
Dadra & Nagar Haveli,2007,Burglary - Property,3. Burglary,28,5444419,6,684570,property_stolen_and_recovered
Daman & Diu,2007,Burglary - Property,3. Burglary,46,10058460,4,1918200,property_stolen_and_recovered
Delhi,2007,Burglary - Property,3. Burglary,2055,142856412,981,8374449,property_stolen_and_recovered
Goa,2007,Burglary - Property,3. Burglary,271,26963400,49,1468865,property_stolen_and_recovered
Gujarat,2007,Burglary - Property,3. Burglary,4747,240405506,1230,44679310,property_stolen_and_recovered
Haryana,2007,Burglary - Property,3. Burglary,4231,150481239,1762,48001068,property_stolen_and_recovered
Himachal Pradesh,2007,Burglary - Property,3. Burglary,831,35526149,144,4843695,property_stolen_and_recovered
Jammu & Kashmir,2007,Burglary - Property,3. Burglary,1458,43615181,295,9884179,property_stolen_and_recovered
Jharkhand,2007,Burglary - Property,3. Burglary,1489,23190276,194,2212553,property_stolen_and_recovered
Karnataka,2007,Burglary - Property,3. Burglary,5449,266947170,1985,75589467,property_stolen_and_recovered
Kerala,2007,Burglary - Property,3. Burglary,3824,326981272,1035,19975794,property_stolen_and_recovered
Lakshadweep,2007,Burglary - Property,3. Burglary,2,21500,0,0,property_stolen_and_recovered
Madhya Pradesh,2007,Burglary - Property,3. Burglary,11230,199867229,3445,37539294,property_stolen_and_recovered
Maharashtra,2007,Burglary - Property,3. Burglary,14771,1034246567,4120,231671814,property_stolen_and_recovered
Manipur,2007,Burglary - Property,3. Burglary,70,4379199,1,12000,property_stolen_and_recovered
Meghalaya,2007,Burglary - Property,3. Burglary,203,6501195,121,878586,property_stolen_and_recovered
Mizoram,2007,Burglary - Property,3. Burglary,424,18614005,279,9553498,property_stolen_and_recovered
Nagaland,2007,Burglary - Property,3. Burglary,118,3649018,12,175860,property_stolen_and_recovered
Odisha,2007,Burglary - Property,3. Burglary,3073,93810550,1342,12767910,property_stolen_and_recovered
Puducherry,2007,Burglary - Property,3. Burglary,86,6656261,36,970520,property_stolen_and_recovered
Punjab,2007,Burglary - Property,3. Burglary,2616,167088865,1032,31338421,property_stolen_and_recovered
Rajasthan,2007,Burglary - Property,3. Burglary,4951,166591147,1634,72297141,property_stolen_and_recovered
Sikkim,2007,Burglary - Property,3. Burglary,83,2796950,17,529090,property_stolen_and_recovered
Tamil Nadu,2007,Burglary - Property,3. Burglary,3717,132086451,2613,79980333,property_stolen_and_recovered
Tripura,2007,Burglary - Property,3. Burglary,193,7024543,38,2386125,property_stolen_and_recovered
Uttar Pradesh,2007,Burglary - Property,3. Burglary,3869,119989378,996,39582906,property_stolen_and_recovered
Uttarakhand,2007,Burglary - Property,3. Burglary,508,23893784,146,5773177,property_stolen_and_recovered
West Bengal,2007,Burglary - Property,3. Burglary,399,24526576,87,1788155,property_stolen_and_recovered
Andaman & Nicobar Islands,2008,Burglary - Property,3. Burglary,78,2940686,35,1671141,property_stolen_and_recovered
Andhra Pradesh,2008,Burglary - Property,3. Burglary,8219,320442778,3832,105204037,property_stolen_and_recovered
Arunachal Pradesh,2008,Burglary - Property,3. Burglary,245,7156154,92,2926035,property_stolen_and_recovered
Assam,2008,Burglary - Property,3. Burglary,3147,66185132,666,17965749,property_stolen_and_recovered
Bihar,2008,Burglary - Property,3. Burglary,3414,43776678,288,3698886,property_stolen_and_recovered
Chandigarh,2008,Burglary - Property,3. Burglary,257,12238993,98,2380893,property_stolen_and_recovered
Chhattisgarh,2008,Burglary - Property,3. Burglary,4112,80298616,1227,17704020,property_stolen_and_recovered
Dadra & Nagar Haveli,2008,Burglary - Property,3. Burglary,49,6242259,19,1794785,property_stolen_and_recovered
Daman & Diu,2008,Burglary - Property,3. Burglary,45,22602575,9,1340800,property_stolen_and_recovered
Delhi,2008,Burglary - Property,3. Burglary,1926,109940832,485,5796997,property_stolen_and_recovered
Goa,2008,Burglary - Property,3. Burglary,291,19170722,84,3630962,property_stolen_and_recovered
Gujarat,2008,Burglary - Property,3. Burglary,4932,339401791,1430,59048428,property_stolen_and_recovered
Haryana,2008,Burglary - Property,3. Burglary,4249,125403133,1579,42033932,property_stolen_and_recovered
Himachal Pradesh,2008,Burglary - Property,3. Burglary,872,41861345,151,9661388,property_stolen_and_recovered
Jammu & Kashmir,2008,Burglary - Property,3. Burglary,1332,59730434,272,11130990,property_stolen_and_recovered
Jharkhand,2008,Burglary - Property,3. Burglary,1375,21482618,188,1795681,property_stolen_and_recovered
Karnataka,2008,Burglary - Property,3. Burglary,6258,466383124,1766,94543552,property_stolen_and_recovered
Kerala,2008,Burglary - Property,3. Burglary,3533,229243049,1037,25512674,property_stolen_and_recovered
Lakshadweep,2008,Burglary - Property,3. Burglary,3,170000,1,90000,property_stolen_and_recovered
Madhya Pradesh,2008,Burglary - Property,3. Burglary,11072,211486284,3600,41839086,property_stolen_and_recovered
Maharashtra,2008,Burglary - Property,3. Burglary,15170,1032152787,4383,157981978,property_stolen_and_recovered
Manipur,2008,Burglary - Property,3. Burglary,76,5093017,1,8000,property_stolen_and_recovered
Meghalaya,2008,Burglary - Property,3. Burglary,166,10597971,58,1669387,property_stolen_and_recovered
Mizoram,2008,Burglary - Property,3. Burglary,337,4783226,242,3117519,property_stolen_and_recovered
Nagaland,2008,Burglary - Property,3. Burglary,120,67628375,15,311600,property_stolen_and_recovered
Odisha,2008,Burglary - Property,3. Burglary,3064,108586553,1232,18652216,property_stolen_and_recovered
Puducherry,2008,Burglary - Property,3. Burglary,90,5486940,50,3810322,property_stolen_and_recovered
Punjab,2008,Burglary - Property,3. Burglary,2621,176012188,1170,66341932,property_stolen_and_recovered
Rajasthan,2008,Burglary - Property,3. Burglary,4526,156179875,1591,64937309,property_stolen_and_recovered
Sikkim,2008,Burglary - Property,3. Burglary,81,2678956,17,277651,property_stolen_and_recovered
Tamil Nadu,2008,Burglary - Property,3. Burglary,3849,148377321,2460,81315722,property_stolen_and_recovered
